test_type,pwm_left,pwm_right,vel_linear_mm_s,vel_angular_deg_s,movement_heading_deg,x_start_m,y_start_m,theta_start_deg,x_end_m,y_end_m,theta_end_deg
linear_fwd,40,40,0.1118,0.0123,153.4349,1.1155,-1.391,-125.9559,1.1153,-1.3909,-125.9312
linear_bwd,-40,-40,15.7830,-0.5015,55.4541,1.1155,-1.3909,-125.9534,1.1334,-1.3649,-126.9564
linear_fwd,50,50,52.0512,1.5411,-124.5907,1.134,-1.3655,-126.43,1.0749,-1.4512,-123.3478
linear_bwd,-50,-50,48.8432,-1.5633,55.8056,1.0749,-1.4513,-123.3089,1.1298,-1.3705,-126.4354
linear_fwd,60,60,82.3462,1.3056,-123.9602,1.1299,-1.3706,-126.3085,1.0379,-1.5072,-123.6973
linear_bwd,-60,-60,76.7454,-1.1490,55.8337,1.0386,-1.5077,-123.8439,1.1248,-1.3807,-126.1419
linear_fwd,70,70,102.3566,-0.2531,-123.5038,1.1247,-1.3806,-126.0761,1.0117,-1.5513,-126.5822
linear_bwd,-70,-70,101.1475,-3.4434,53.8269,1.0098,-1.5494,-121.1016,1.1292,-1.3861,-127.9885
linear_fwd,80,80,124.2160,1.0740,-126.3072,1.1292,-1.3862,-127.7693,0.9821,-1.5864,-125.6212
linear_bwd,-80,-80,120.8900,-1.5092,53.1206,0.9821,-1.5864,-125.6495,1.1272,-1.393,-128.6678
linear_fwd,90,90,147.1119,1.0279,-128.2371,1.128,-1.3934,-129.2491,0.9459,-1.6245,-127.1934
linear_bwd,-90,-90,1.6279,-2.0829,-10.6197,0.9456,-1.6238,-127.2271,0.9488,-1.6244,-131.3929
linear_fwd,100,100,181.7487,2.0837,-126.0471,0.9469,-1.6247,-128.3637,0.733,-1.9186,-124.1962
linear_bwd,-100,-100,173.2058,-3.3307,52.1410,0.7326,-1.9187,-123.2857,0.9452,-1.6452,-129.9471
linear_fwd,110,110,193.2416,1.4124,-129.5512,0.9455,-1.645,-130.324,0.6994,-1.943,-127.4993
linear_bwd,-110,-110,196.2227,-4.4927,47.8815,0.6996,-1.9431,-126.7449,0.9628,-1.652,-135.7303
linear_fwd,120,120,218.9088,-2.0686,-136.3327,0.9624,-1.6514,-134.8314,0.6457,-1.9537,-138.9685
linear_bwd,-120,-120,221.7615,-2.4572,38.1050,0.6458,-1.9536,-138.5986,0.9948,-1.6799,-143.513
linear_fwd,130,130,233.5803,-1.2585,-145.7827,0.9948,-1.6799,-143.513,0.6085,-1.9426,-146.03
linear_bwd,-130,-130,233.8868,-3.6937,29.6066,0.6085,-1.9426,-146.03,1.0152,-1.7115,-153.4174
