test_type,pwm_left,pwm_right,vel_linear_mm_s,vel_angular_deg_s,movement_heading_deg,x_start_m,y_start_m,theta_start_deg,x_end_m,y_end_m,theta_end_deg
linear_fwd,40,40,6.8546,0.2099,-177.9098,1.9946,-0.2956,-177.5299,1.9809,-0.2961,-177.11
linear_bwd,-40,-40,1.6286,0.5511,-17.8787,1.9812,-0.2959,-177.4031,1.9843,-0.2969,-176.3008
linear_fwd,50,50,33.6121,-1.0198,-178.4657,1.9842,-0.2969,-176.4113,1.917,-0.2987,-178.4509
linear_bwd,-50,-50,38.6791,-0.5995,2.2225,1.9166,-0.3002,-177.0046,1.9939,-0.2972,-178.2037
linear_fwd,60,60,66.2302,-0.6543,-178.2695,1.9937,-0.2973,-178.1053,1.8613,-0.3013,-179.4138
linear_bwd,-60,-60,63.0624,-0.0143,1.1358,1.8608,-0.3012,-178.9562,1.9869,-0.2987,-178.9848
linear_fwd,70,70,87.9146,-0.3504,-178.9572,1.987,-0.298,179.6193,1.8112,-0.3012,178.9185
linear_bwd,-70,-70,88.1194,-1.1153,-1.2030,1.8107,-0.3021,-179.983,1.9869,-0.3058,177.7863
linear_fwd,80,80,115.5358,0.4919,176.7500,1.9881,-0.3059,176.4149,1.7574,-0.2928,177.3987
linear_bwd,-80,-80,112.6451,0.0814,-5.3740,1.7582,-0.2939,175.3711,1.9825,-0.315,175.5339
linear_fwd,90,90,137.9720,-3.4620,174.7811,1.9838,-0.3116,179.1524,1.709,-0.2865,172.2285
linear_bwd,-90,-90,142.7404,-0.1994,-7.7100,1.709,-0.2865,172.2117,1.9919,-0.3248,171.8129
linear_fwd,100,100,0.0000,-0.0183,0.0000,1.992,-0.3248,171.6543,1.992,-0.3248,171.6178
linear_bwd,-100,-100,174.4241,-0.1615,-8.4065,1.9919,-0.3247,171.7916,2.337,-0.3757,171.4686
linear_fwd,110,110,184.7041,-1.6852,171.3435,2.3374,-0.3762,172.0872,1.9722,-0.3206,168.7167
linear_bwd,-110,-110,187.4697,-0.4780,-11.9603,1.9722,-0.3206,168.7098,2.339,-0.3983,167.7538
linear_fwd,120,120,208.9021,0.9778,166.9417,2.3391,-0.3987,168.2959,1.9321,-0.3043,170.2514
linear_bwd,-120,-120,207.1879,-2.6534,-15.1363,1.9323,-0.3104,167.8295,2.3323,-0.4186,162.5227
linear_fwd,130,130,231.0764,1.2785,163.1452,2.3322,-0.4185,162.4901,1.8899,-0.2845,165.0472
linear_bwd,-130,-130,231.1678,-4.0708,-19.9831,1.8902,-0.2846,165.772,2.3247,-0.4426,157.6303
linear_fwd,140,140,257.7506,0.4301,158.9808,2.3246,-0.4427,157.6399,1.8434,-0.2578,158.5001
linear_bwd,-140,-140,255.6900,-5.3071,-24.0740,1.843,-0.2533,164.6128,2.3099,-0.4619,153.9986
linear_fwd,150,150,287.9438,2.9968,154.5029,2.3099,-0.4618,154.0468,1.7901,-0.2139,160.0404
linear_bwd,-150,-150,283.6193,-3.5854,-25.5893,1.7902,-0.2141,159.9234,2.3018,-0.4591,152.7526
linear_fwd,160,160,310.9517,4.1159,154.8401,2.3018,-0.4591,152.7591,1.7389,-0.1947,160.9908
linear_bwd,-160,-160,307.3209,-4.5219,-25.9439,1.7389,-0.1946,161.0398,2.2916,-0.4635,151.996
linear_fwd,170,170,334.8179,1.0024,153.9094,2.2916,-0.4631,152.6237,1.6902,-0.1686,154.6286
