test_type,pwm_left,pwm_right,vel_linear_mm_s,vel_angular_deg_s,movement_heading_deg,x_start_m,y_start_m,theta_start_deg,x_end_m,y_end_m,theta_end_deg
linear_fwd,70,70,111.5049,-0.1491,-144.5639,-0.6955,0.9665,144.0444,-0.8772,0.8372,143.7463
linear_bwd,-70,-70,91.0208,0.4412,34.9559,-0.8772,0.8372,143.7084,-0.728,0.9415,144.5909
linear_fwd,80,80,133.1511,-1.3348,-143.3668,-0.728,0.9419,144.1823,-0.9417,0.783,141.5127
linear_bwd,-80,-80,116.6714,-0.1149,37.6704,-0.9419,0.7829,141.6592,-0.7572,0.9255,141.4294
linear_fwd,90,90,158.5674,-1.7553,-140.1297,-0.7568,0.926,141.684,-1.0002,0.7227,138.1733
linear_bwd,-90,-90,141.2296,-0.7838,41.9721,-1.0002,0.7227,138.1889,-0.7902,0.9116,136.6213
angular_cw,70,-70,17.2540,-89.6923,N/A,-0.7903,0.9117,136.6579,-0.7657,0.9359,-42.7267
angular_ccw,-70,70,20.9820,84.6505,N/A,-0.7656,0.9359,-42.7174,-0.7773,0.8956,126.5836
angular_cw,80,-80,14.9554,-118.8058,N/A,-0.777,0.8961,125.9129,-0.7762,0.926,-111.6988
angular_ccw,-80,80,0.0500,-0.0591,N/A,-0.7762,0.9261,-111.8,-0.7762,0.926,-111.9182
