test_type,pwm_left,pwm_right,vel_linear_mm_s,vel_angular_deg_s,movement_heading_deg,x_start_m,y_start_m,theta_start_deg,x_end_m,y_end_m,theta_end_deg
linear_fwd,70,70,103.1024,-1.7373,-64.5534,-2.3081,0.0006,65.8293,-2.2195,-0.1856,62.3547
linear_bwd,-70,-70,87.2514,-0.1095,116.5504,-2.2197,-0.1852,62.3369,-2.2977,-0.0291,62.1179
linear_fwd,80,80,130.2560,-1.4159,-61.8512,-2.298,-0.0292,62.492,-2.1751,-0.2589,59.6603
linear_bwd,-80,-80,113.1569,-0.4196,118.7054,-2.1751,-0.2589,59.6538,-2.2838,-0.0604,58.8146
linear_fwd,90,90,154.1830,-2.1457,-57.4747,-2.2838,-0.0604,58.7769,-2.118,-0.3204,54.4854
linear_bwd,-90,-90,137.5834,0.0986,123.2569,-2.118,-0.3206,54.4882,-2.2689,-0.0905,54.6854
angular_cw,70,-70,18.6438,-87.0156,N/A,-2.2689,-0.0906,54.68,-2.287,-0.058,-119.3513
angular_ccw,-70,70,21.0858,83.9476,N/A,-2.2869,-0.058,-119.3545,-2.2508,-0.0798,48.5407
angular_cw,80,-80,15.5604,-116.7181,N/A,-2.2507,-0.08,48.5694,-2.2792,-0.0675,175.1333
angular_ccw,-80,80,0.0707,0.0410,N/A,-2.2792,-0.0675,175.1352,-2.2791,-0.0676,175.2173
angular_cw,90,-90,7.4035,-148.7073,N/A,-2.2793,-0.0674,175.0789,-2.273,-0.054,-122.3357
angular_ccw,-90,90,12.5810,144.3885,N/A,-2.2729,-0.0539,-122.2776,-2.2681,-0.0786,166.4995
angular_cw,100,-100,0.1414,-0.0241,N/A,-2.2678,-0.0785,166.1853,-2.268,-0.0783,166.1371
angular_ccw,-100,100,0.5000,179.2833,N/A,-2.268,-0.0784,166.1502,-2.269,-0.0784,164.7168
