test_type,pwm_left,pwm_right,vel_linear_mm_s,vel_angular_deg_s,movement_heading_deg,x_start_m,y_start_m,theta_start_deg,x_end_m,y_end_m,theta_end_deg
linear_fwd,70,70,107.5406,-1.1503,-168.8207,-2.2286,0.0279,-168.6247,-2.4396,-0.0138,-170.9253
linear_bwd,-70,-70,89.2019,0.1286,10.5289,-2.4393,-0.0135,-170.9588,-2.2639,0.0191,-170.7016
linear_fwd,80,80,128.7585,-1.7364,-172.1436,-2.2639,0.0192,-170.7009,-2.519,-0.016,-174.1737
linear_bwd,-80,-80,115.2801,-0.9395,5.7502,-2.519,-0.016,-174.2087,-2.2896,0.0071,-176.0876
linear_fwd,90,90,156.9368,-3.2446,-178.7586,-2.2896,0.0071,-176.0853,-2.6034,0.0003,177.4254
linear_bwd,-90,-90,138.0794,0.5983,-1.1827,-2.6033,0.0003,177.4229,-2.3272,-0.0054,178.6194
angular_cw,70,-70,16.9713,-83.8648,N/A,-2.3274,-0.005,178.8362,-2.2947,0.0041,11.1066
angular_ccw,-70,70,0.1118,-0.0694,N/A,-2.2947,0.0038,11.0711,-2.2946,0.004,10.9322
angular_cw,80,-80,16.1208,-115.1247,N/A,-2.2947,0.0038,11.0572,-2.3263,0.0102,140.8078
angular_ccw,-80,80,19.3294,106.6454,N/A,-2.3264,0.0099,140.8528,-2.3005,-0.0188,-5.8564
angular_cw,90,-90,9.9077,-144.1709,N/A,-2.3005,-0.0188,-5.8457,-2.3081,-0.0005,65.8126
angular_ccw,-90,90,0.0500,-0.0038,N/A,-2.308,-0.0008,65.4443,-2.3079,-0.0008,65.4367
angular_cw,100,-100,0.1118,0.0602,N/A,-2.3079,-0.0008,65.4195,-2.308,-0.001,65.54
angular_ccw,-100,100,0.1803,-0.0059,N/A,-2.3083,-0.0008,65.8453,-2.3081,-0.0005,65.8334
