test_type,pwm_left,pwm_right,vel_linear_mm_s,vel_angular_deg_s,movement_heading_deg,x_start_m,y_start_m,theta_start_deg,x_end_m,y_end_m,theta_end_deg
linear_fwd,70,70,0.1000,0.0580,180.0000,-1.058,0.8152,150.8993,-1.0582,0.8152,151.0154
linear_bwd,-70,-70,92.4022,1.1249,27.3138,-1.0579,0.8152,150.8722,-0.8937,0.9,153.1219
linear_fwd,80,80,0.0500,0.0165,0.0000,-0.8939,0.9,152.9329,-0.8938,0.9,152.9659
linear_bwd,-80,-80,118.8983,0.7066,25.9616,-0.8938,0.8999,153.0254,-0.68,1.004,154.4386
linear_fwd,90,90,155.9000,-2.0019,-153.1966,-0.6803,1.0036,154.7707,-0.9586,0.863,150.767
linear_bwd,-90,-90,139.3268,0.5549,27.5306,-0.959,0.8627,150.4243,-0.7119,0.9915,151.534
angular_cw,70,-70,17.1996,-87.6917,N/A,-0.7118,0.9914,151.5941,-0.6807,1.0061,-23.7893
angular_ccw,-70,70,21.0557,84.9059,N/A,-0.6807,1.0062,-23.8703,-0.7076,0.9738,145.9415
angular_cw,80,-80,15.9108,-120.0421,N/A,-0.7076,0.9738,145.9905,-0.6945,1.0028,-94.0936
angular_ccw,-80,80,18.2534,118.4603,N/A,-0.6948,1.0029,-92.8576,-0.6955,0.9664,144.063
