test_type,pwm_left,pwm_right,vel_linear_mm_s,vel_angular_deg_s,movement_heading_deg,x_start_m,y_start_m,theta_start_deg,x_end_m,y_end_m,theta_end_deg
linear_fwd,40,40,14.4918,0.4083,-131.2231,2.3626,-0.5366,-132.3182,2.3435,-0.5584,-131.5015
linear_bwd,-40,-40,1.1673,-0.0279,46.7357,2.3435,-0.5584,-131.4896,2.3451,-0.5567,-131.5454
linear_fwd,50,50,35.7851,0.6714,-131.2612,2.3451,-0.5567,-131.5466,2.2979,-0.6105,-130.2038
linear_bwd,-50,-50,32.8759,-0.1497,49.5027,2.2979,-0.6105,-130.2368,2.3406,-0.5605,-130.5362
linear_fwd,60,60,64.5505,0.2365,-130.0670,2.3406,-0.5605,-130.5042,2.2575,-0.6593,-130.0312
linear_bwd,-60,-60,64.8127,0.5490,50.4151,2.2575,-0.6593,-130.0155,2.3401,-0.5594,-128.9175
linear_fwd,70,70,93.4814,-0.8379,-130.8140,2.3403,-0.5597,-129.1557,2.2181,-0.7012,-130.8315
linear_bwd,-70,-70,93.7875,0.9177,50.3861,2.2182,-0.7016,-130.3415,2.3378,-0.5571,-128.5061
linear_fwd,80,80,117.1340,-2.5383,-131.2619,2.3378,-0.5571,-128.5298,2.1833,-0.7332,-133.6064
linear_bwd,-80,-80,111.8458,54.9608,45.9962,2.183,-0.7277,-132.0355,2.3384,-0.5668,-22.1139
linear_fwd,90,90,138.7026,0.3035,-132.7211,2.34,-0.5654,-132.6212,2.1518,-0.7692,-132.0141
linear_bwd,-90,-90,137.0915,0.4522,48.3265,2.1518,-0.7692,-132.0181,2.3341,-0.5644,-131.1138
linear_fwd,100,100,166.3716,-1.7801,-131.3204,2.3343,-0.5653,-130.5309,2.1146,-0.8152,-134.0912
linear_bwd,-100,-100,168.7562,3.4459,48.9163,2.1146,-0.8152,-134.036,2.3364,-0.5608,-127.1443
linear_fwd,110,110,185.2258,-0.1940,-127.3215,2.3365,-0.5602,-127.8333,2.1119,-0.8548,-128.2213
linear_bwd,-110,-110,182.2440,0.5217,52.1995,2.1119,-0.8548,-128.2258,2.3353,-0.5668,-127.1823
linear_fwd,120,120,204.2500,0.0083,-126.8699,2.3352,-0.5671,-127.0898,2.0901,-0.8939,-127.0732
linear_bwd,-120,-120,214.3376,1.2236,53.6139,2.0902,-0.8943,-127.1409,2.3445,-0.5492,-124.6936
linear_fwd,130,130,228.6316,-3.2321,-127.8222,2.3444,-0.5491,-124.7066,2.064,-0.9103,-131.1707
linear_bwd,-130,-130,0.0500,-0.0715,90.0000,2.0638,-0.9093,-132.476,2.0638,-0.9092,-132.619
linear_fwd,140,140,259.3468,-2.8091,-133.5236,2.0638,-0.9093,-132.5715,1.7066,-1.2854,-138.1896
linear_bwd,-140,-140,256.3994,1.3227,43.3327,1.7064,-1.2858,-137.6626,2.0794,-0.9339,-135.0172
linear_fwd,150,150,277.7301,-2.2794,-136.0795,2.0794,-0.9339,-135.0504,1.6793,-1.3192,-139.6091
linear_bwd,-150,-150,0.0000,0.0306,0.0000,1.6792,-1.3192,-139.6692,1.6792,-1.3192,-139.6079
linear_fwd,160,160,312.5522,-1.2713,-141.5277,1.6801,-1.3192,-140.6638,1.1907,-1.7081,-143.2065
linear_bwd,-160,-160,305.2952,0.1890,36.5358,1.1917,-1.7074,-144.854,1.6823,-1.3439,-144.476
linear_fwd,170,170,1770.7416,82.3088,147.8645,1.6831,-1.3453,-142.0555,-1.3158,0.5385,22.562
linear_bwd,-170,-170,1787.4592,-87.7080,-32.4031,-1.3158,0.5385,22.3121,1.7025,-1.3772,-153.1039
angular_cw,50,-50,0.2062,-0.4760,N/A,1.7024,-1.3772,-152.9984,1.702,-1.3771,-153.9504
angular_ccw,-50,50,0.5523,0.0420,N/A,1.7026,-1.3777,-152.9154,1.7015,-1.3776,-152.8314
angular_cw,60,-60,8.4404,-23.1478,N/A,1.702,-1.3771,-153.9287,1.692,-1.3635,159.7758
angular_ccw,-60,60,12.9973,36.1210,N/A,1.6926,-1.3635,158.7442,1.7172,-1.3719,-129.0138
angular_cw,70,-70,19.6681,-59.8816,N/A,1.7172,-1.3718,-128.9462,1.7009,-1.336,111.2906
angular_ccw,-70,70,12.2830,69.2472,N/A,1.7008,-1.3356,111.6719,1.699,-1.3601,-109.8336
angular_cw,80,-80,436.9959,-158.1517,N/A,1.6982,-1.3605,-108.4842,1.4727,-0.5161,-64.7875
angular_ccw,-80,80,13.6427,106.1241,N/A,1.4727,-0.5166,-63.7604,1.4559,-0.4951,148.4879
angular_cw,90,-90,9.4641,-140.3854,N/A,1.4559,-0.4951,148.5335,1.4581,-0.5139,-132.2373
angular_ccw,-90,90,0.0500,0.0809,N/A,1.4581,-0.5138,-132.386,1.4581,-0.5139,-132.2243
angular_cw,100,-100,2.1783,-173.7061,N/A,1.4581,-0.5139,-132.2287,1.4574,-0.5182,-119.641
angular_ccw,-100,100,4.3324,157.7347,N/A,1.4574,-0.5181,-119.649,1.4546,-0.5099,-164.1796
angular_cw,110,-110,2.3436,-192.4678,N/A,1.455,-0.51,-164.6134,1.4511,-0.5074,170.4509
angular_ccw,-110,110,3.6431,196.0728,N/A,1.4513,-0.5077,169.7888,1.4463,-0.513,-158.0656
angular_cw,120,-120,0.0000,0.0016,N/A,1.4463,-0.513,-158.0718,1.4463,-0.513,-158.0686
angular_ccw,-120,120,0.0500,-0.0163,N/A,1.4462,-0.513,-158.0648,1.4463,-0.513,-158.0975
angular_cw,130,-130,9.4868,-240.0991,N/A,1.4463,-0.513,-158.0816,1.4571,-0.4974,81.7203
angular_ccw,-130,130,13.5326,240.3182,N/A,1.4571,-0.4975,81.7029,1.4337,-0.5111,-157.6607
angular_cw,140,-140,12.0740,-267.6322,N/A,1.4353,-0.5092,-158.0021,1.4585,-0.5025,26.7336
angular_ccw,-140,140,0.3640,0.2255,N/A,1.4583,-0.5018,26.2941,1.4585,-0.5025,26.745
angular_cw,150,-150,22.2944,-339.0815,N/A,1.4741,-0.5055,105.5488,1.4297,-0.5014,147.3858
angular_ccw,-150,150,1.3010,-1.4025,N/A,1.4295,-0.498,149.4425,1.4294,-0.5006,146.6376
