test_type,pwm_left,pwm_right,vel_linear_mm_s,vel_angular_deg_s,movement_heading_deg,x_start_m,y_start_m,theta_start_deg,x_end_m,y_end_m,theta_end_deg
linear_fwd,40,40,25.7803,1.1922,140.3509,1.4641,-1.0654,139.2414,1.4244,-1.0325,141.6258
linear_bwd,-40,-40,28.9871,-0.2297,-38.1350,1.4244,-1.0325,141.6348,1.47,-1.0683,141.1754
linear_fwd,50,50,2.8504,0.5977,88.9949,1.47,-1.0683,141.1951,1.4701,-1.0626,142.3904
linear_bwd,-50,-50,13.0105,-1.4616,-40.7924,1.4689,-1.066,143.8646,1.4886,-1.083,140.9414
linear_fwd,60,60,0.0000,0.0000,0.0000,1.4886,-1.083,140.9414,1.4886,-1.083,140.9414
linear_bwd,-60,-60,0.0000,0.0000,0.0000,1.4886,-1.083,140.9414,1.4886,-1.083,140.9414
linear_fwd,70,70,0.0000,0.0000,0.0000,1.4886,-1.083,140.9414,1.4886,-1.083,140.9414
linear_bwd,-70,-70,0.0000,0.0000,0.0000,1.4886,-1.083,140.9414,1.4886,-1.083,140.9414
linear_fwd,80,80,0.0000,0.0000,0.0000,1.4886,-1.083,140.9414,1.4886,-1.083,140.9414
linear_bwd,-80,-80,0.0000,0.0000,0.0000,1.4886,-1.083,140.9414,1.4886,-1.083,140.9414
linear_fwd,90,90,0.0000,0.0000,0.0000,1.4886,-1.083,140.9414,1.4886,-1.083,140.9414
linear_bwd,-90,-90,0.0000,0.0000,0.0000,1.4886,-1.083,140.9414,1.4886,-1.083,140.9414
angular_cw,50,-50,0.0000,0.0000,N/A,1.4886,-1.083,140.9414,1.4886,-1.083,140.9414
angular_ccw,-50,50,0.0000,0.0000,N/A,1.4886,-1.083,140.9414,1.4886,-1.083,140.9414
angular_cw,60,-60,0.0000,0.0000,N/A,1.4886,-1.083,140.9414,1.4886,-1.083,140.9414
angular_ccw,-60,60,0.0000,0.0000,N/A,1.4886,-1.083,140.9414,1.4886,-1.083,140.9414
angular_cw,70,-70,0.0000,0.0000,N/A,1.4886,-1.083,140.9414,1.4886,-1.083,140.9414
angular_ccw,-70,70,0.0000,0.0000,N/A,1.4886,-1.083,140.9414,1.4886,-1.083,140.9414
angular_cw,80,-80,0.0000,0.0000,N/A,1.4886,-1.083,140.9414,1.4886,-1.083,140.9414
angular_ccw,-80,80,0.0000,0.0000,N/A,1.4886,-1.083,140.9414,1.4886,-1.083,140.9414
angular_cw,90,-90,0.0000,0.0000,N/A,1.4886,-1.083,140.9414,1.4886,-1.083,140.9414
angular_ccw,-90,90,0.0000,0.0000,N/A,1.4886,-1.083,140.9414,1.4886,-1.083,140.9414
angular_cw,100,-100,0.0000,0.0000,N/A,1.4886,-1.083,140.9414,1.4886,-1.083,140.9414
angular_ccw,-100,100,0.0000,0.0000,N/A,1.4886,-1.083,140.9414,1.4886,-1.083,140.9414
