test_type,pwm_left,pwm_right,vel_linear_mm_s,vel_angular_deg_s,movement_heading_deg,x_start_m,y_start_m,theta_start_deg,x_end_m,y_end_m,theta_end_deg
linear_fwd,40,40,22.2473,0.1775,150.9579,1.1974,-0.8485,150.7954,1.1585,-0.8269,151.1504
linear_bwd,-40,-40,30.7995,0.0161,-29.1449,1.1585,-0.8269,151.1777,1.2123,-0.8569,151.2099
linear_fwd,50,50,0.0500,0.0216,0.0000,1.2122,-0.8568,151.0672,1.2123,-0.8568,151.1105
linear_bwd,-50,-50,58.7038,0.8986,-28.3768,1.2122,-0.8562,151.6427,1.3155,-0.912,153.4398
linear_fwd,60,60,70.0012,1.7143,150.7069,1.3161,-0.9163,148.3613,1.194,-0.8478,151.7898
linear_bwd,-60,-60,77.9438,-1.8112,-29.5580,1.194,-0.8478,151.8089,1.3296,-0.9247,148.1865
linear_fwd,70,70,94.6286,0.8782,150.6719,1.3289,-0.925,148.6386,1.1639,-0.8323,150.3949
linear_bwd,-70,-70,99.2951,-1.6024,-30.3354,1.1639,-0.8322,150.418,1.3353,-0.9325,147.2133
linear_fwd,80,80,121.9033,2.6639,149.3748,1.3358,-0.9325,146.3085,1.126,-0.8083,151.6363
linear_bwd,-80,-80,120.1040,-3.7548,-32.2279,1.1261,-0.8087,151.9149,1.3293,-0.9368,144.4054
linear_fwd,90,90,148.1519,4.8236,147.7528,1.3292,-0.9358,145.5725,1.0786,-0.7777,155.2197
linear_bwd,-90,-90,144.4900,-6.1714,-33.2391,1.0786,-0.7777,155.1882,1.3203,-0.9361,142.8454
angular_cw,50,-50,12.9925,-34.8339,N/A,1.3202,-0.936,142.8996,1.3433,-0.9479,73.2318
angular_ccw,-50,50,8.1502,32.2944,N/A,1.3434,-0.9482,73.0358,1.3271,-0.9483,137.6245
angular_cw,60,-60,16.0179,-68.7002,N/A,1.3271,-0.9483,137.5674,1.3494,-0.9713,0.1671
angular_ccw,-60,60,12.5100,60.3545,N/A,1.35,-0.9714,0.8176,1.3294,-0.9572,121.5266
angular_cw,70,-70,0.0000,-0.0004,N/A,1.3294,-0.9572,121.5447,1.3294,-0.9572,121.5439
angular_ccw,-70,70,15.8597,92.8961,N/A,1.3294,-0.9572,121.5007,1.3408,-0.9868,-52.707
angular_cw,80,-80,14.4984,-122.6529,N/A,1.3408,-0.9853,-54.8206,1.3487,-0.9574,59.8737
angular_ccw,-80,80,14.6715,111.3333,N/A,1.3484,-0.9576,59.8313,1.3358,-0.9841,-77.502
angular_cw,90,-90,10.3331,-151.0609,N/A,1.3358,-0.9841,-77.5236,1.3536,-0.9736,-19.6455
angular_ccw,-90,90,10.3007,144.8225,N/A,1.3536,-0.9737,-19.7457,1.3377,-0.9868,-90.1006
angular_cw,100,-100,1.4116,-182.2763,N/A,1.3381,-0.9866,-90.4713,1.3407,-0.9855,-95.024
angular_ccw,-100,100,0.1500,173.7390,N/A,1.3407,-0.9855,-94.9997,1.3407,-0.9858,-107.5217
