test_type,pwm_left,pwm_right,vel_linear_mm_s,vel_angular_deg_s,movement_heading_deg,x_start_m,y_start_m,theta_start_deg,x_end_m,y_end_m,theta_end_deg
linear_fwd,40,40,23.5394,-0.9682,-4.9961,1.5101,-1.1459,-4.3836,1.557,-1.15,-6.32
linear_bwd,-40,-40,26.7522,-0.1029,173.8845,1.5571,-1.15,-6.3128,1.5039,-1.1443,-6.5186
linear_fwd,50,50,49.6210,-0.3675,-7.4687,1.5039,-1.1446,-6.1618,1.6023,-1.1575,-6.8967
linear_bwd,-50,-50,56.3354,-0.0283,171.7333,1.6026,-1.1569,-7.5288,1.4911,-1.1407,-7.5854
linear_fwd,60,60,77.4898,-2.4433,-9.6203,1.4911,-1.1407,-7.5704,1.6439,-1.1666,-12.4569
linear_bwd,-60,-60,77.8890,-1.2013,167.3555,1.6439,-1.1666,-13.2197,1.4919,-1.1325,-15.6223
linear_fwd,70,70,101.6471,-0.0477,-15.8138,1.4919,-1.1325,-15.6571,1.6875,-1.1879,-15.7526
linear_bwd,-70,-70,103.3275,-2.3561,161.6089,1.6879,-1.1877,-15.8548,1.4918,-1.1225,-20.5671
linear_fwd,80,80,127.9166,-1.8945,-21.9428,1.4917,-1.1231,-20.1801,1.729,-1.2187,-23.9692
linear_bwd,-80,-80,126.6285,-4.4004,153.4248,1.729,-1.2195,-23.3425,1.5025,-1.1062,-32.1432
linear_fwd,90,90,152.9813,-55.3899,-28.6508,1.5021,-1.1099,-27.5071,1.7706,-1.2566,-138.287
linear_bwd,-90,-90,156.0328,51.7366,147.7766,1.7706,-1.2566,-138.2539,1.5066,-1.0902,-34.7807
angular_cw,50,-50,11.6431,-40.1766,N/A,1.5067,-1.0902,-34.8026,1.4842,-1.0962,-115.1558
angular_ccw,-50,50,10.8860,35.5904,N/A,1.4849,-1.0961,-116.0179,1.497,-1.078,-44.8371
angular_cw,60,-60,14.3590,-66.2189,N/A,1.497,-1.078,-44.8901,1.4684,-1.0754,-177.3279
angular_ccw,-60,60,13.2673,68.6013,N/A,1.468,-1.0754,-177.2482,1.494,-1.0807,-40.0456
angular_cw,70,-70,0.3162,-0.3671,N/A,1.4939,-1.0807,-40.0159,1.4937,-1.0801,-40.7501
angular_ccw,-70,70,15.2287,-77.3832,N/A,1.4939,-1.0811,-39.7246,1.4665,-1.0678,165.509
angular_cw,80,-80,11.5763,50.2208,N/A,1.4665,-1.0678,165.5558,1.4785,-1.0876,-94.0026
angular_ccw,-80,80,13.0000,-55.3116,N/A,1.4784,-1.0879,-93.5624,1.4628,-1.0671,155.8145
angular_cw,90,-90,7.0087,22.8091,N/A,1.4642,-1.0673,156.4604,1.4635,-1.0813,-157.9215
angular_ccw,-90,90,7.3027,-27.7853,N/A,1.4636,-1.0815,-159.535,1.464,-1.0669,144.8945
angular_cw,100,-100,1.0296,-4.8859,N/A,1.4642,-1.0663,145.5904,1.4652,-1.0645,135.8186
angular_ccw,-100,100,0.7211,3.6391,N/A,1.4651,-1.0636,134.9157,1.4639,-1.0644,142.1938
