test_type,pwm_left,pwm_right,vel_linear_mm_s,vel_angular_deg_s,movement_heading_deg,x_start_m,y_start_m,theta_start_deg,x_end_m,y_end_m,theta_end_deg
linear_fwd,40,40,10.3910,1.7229,139.4884,1.4296,-0.4995,144.9113,1.4138,-0.486,148.3571
linear_bwd,-40,-40,9.2143,-0.0727,-38.6113,1.4138,-0.4859,148.3673,1.4282,-0.4974,148.2219
linear_fwd,50,50,32.1561,-0.3779,150.3656,1.4282,-0.4975,148.2136,1.3723,-0.4657,147.4578
linear_bwd,-50,-50,37.4968,0.7107,-29.2995,1.3723,-0.4657,147.4596,1.4377,-0.5024,148.881
linear_fwd,60,60,67.4168,-1.3244,148.7739,1.4375,-0.5031,149.8192,1.3222,-0.4332,147.1703
linear_bwd,-60,-60,71.3702,-1.4099,-31.2735,1.3229,-0.4323,150.8864,1.4449,-0.5064,148.0666
linear_fwd,70,70,89.6896,-0.1835,151.6062,1.4439,-0.5034,151.2323,1.2861,-0.4181,150.8653
linear_bwd,-70,-70,0.3041,-0.2799,80.5377,1.2861,-0.4189,151.6098,1.2862,-0.4183,151.0501
linear_fwd,80,80,122.9393,-1.4045,149.2001,1.2861,-0.4194,151.456,1.0749,-0.2935,148.647
linear_bwd,-80,-80,111.9835,-0.0493,-32.0650,1.0743,-0.2935,149.0909,1.2641,-0.4124,148.9923
linear_fwd,90,90,136.6594,1.0626,148.8457,1.2644,-0.4108,146.2848,1.0305,-0.2694,148.4099
linear_bwd,-90,-90,133.0523,-1.7112,-31.7429,1.0296,-0.2685,151.1944,1.2559,-0.4085,147.772
linear_fwd,100,100,161.3509,-0.0589,148.5856,1.2547,-0.4108,149.1437,0.9793,-0.2426,149.0258
linear_bwd,-100,-100,163.0684,-1.1601,-32.3890,0.9802,-0.2417,151.8981,1.2556,-0.4164,149.5779
linear_fwd,110,110,185.8968,-3.0161,146.6305,1.256,-0.4151,151.0661,0.9455,-0.2106,145.0338
linear_bwd,-110,-110,191.9535,3.6338,-34.6546,0.9461,-0.2102,143.2698,1.2619,-0.4285,150.5375
linear_fwd,120,120,219.6102,-0.3997,143.2005,1.2592,-0.4349,141.331,0.9075,-0.1718,140.5316
linear_bwd,-120,-120,210.6485,-0.2384,-40.0702,0.9072,-0.1713,140.0156,1.2296,-0.4425,139.5388
linear_fwd,130,130,237.2587,-6.1637,136.6224,1.2291,-0.4403,142.304,0.8842,-0.1144,129.9767
linear_bwd,-130,-130,0.2236,0.3642,-153.4349,0.8848,-0.1156,130.4848,0.8844,-0.1158,131.2132
linear_fwd,140,140,266.3693,-2.2899,127.3496,0.8848,-0.1153,130.3092,0.5616,0.3082,125.7295
linear_bwd,-140,-140,0.5385,0.0546,-68.1986,0.562,0.3086,125.6237,0.5624,0.3076,125.7329
linear_fwd,150,150,289.9368,-3.3387,121.8619,0.5624,0.3076,125.7296,0.2563,0.8001,119.0523
linear_bwd,-150,-150,267.7640,-0.7660,-62.4493,0.2555,0.7984,118.5746,0.5032,0.3236,117.0427
linear_fwd,160,160,1170.8993,-27.4111,156.8541,0.5029,0.3244,117.47,-1.6504,1.2449,62.6477
linear_bwd,-160,-160,1142.3077,21.3612,-23.7522,-1.6502,1.2446,62.3248,0.4409,0.3244,105.0473
linear_fwd,170,170,333.0472,-2.9236,103.3853,0.4408,0.3234,107.5393,0.2866,0.9714,101.6921
linear_bwd,-170,-170,0.4123,0.4041,-104.0362,0.2869,0.972,102.3978,0.2867,0.9712,103.206
angular_cw,50,-50,0.3041,-2.3257,N/A,0.287,0.972,102.4175,0.2871,0.9714,97.7661
angular_ccw,-50,50,0.7071,1.1718,N/A,0.287,0.9705,98.5376,0.2868,0.9719,100.8813
angular_cw,60,-60,978.3054,-18.9134,N/A,0.2871,0.972,100.4977,-1.6504,1.2448,62.6708
angular_ccw,-60,60,0.1803,-0.1584,N/A,-1.6505,1.2448,62.7177,-1.6503,1.2445,62.4008
angular_cw,70,-70,0.0000,-0.0721,N/A,-1.6504,1.2448,62.7241,-1.6504,1.2448,62.5798
angular_ccw,-70,70,0.3808,-0.6110,N/A,-1.6504,1.2448,62.6535,-1.6501,1.2455,61.4314
angular_cw,80,-80,0.4031,0.4328,N/A,-1.6501,1.2455,61.3972,-1.6502,1.2447,62.2627
angular_ccw,-80,80,0.4528,-180.3930,N/A,-1.6502,1.2446,62.2893,-1.6501,1.2455,61.5034
angular_cw,90,-90,0.4301,-0.6440,N/A,-1.6505,1.2448,62.7402,-1.65,1.2455,61.4522
angular_ccw,-90,90,0.0500,-0.0230,N/A,-1.6503,1.2445,62.3713,-1.6503,1.2446,62.3252
angular_cw,100,-100,0.2062,0.0623,N/A,-1.6503,1.2445,62.4373,-1.6504,1.2449,62.5618
angular_ccw,-100,100,0.1581,179.8483,N/A,-1.6504,1.2449,62.6584,-1.6503,1.2446,62.3549
angular_cw,110,-110,0.0000,-180.0326,N/A,-1.6504,1.2448,62.7125,-1.6504,1.2448,62.6474
angular_ccw,-110,110,993.7598,52.1608,N/A,-1.6503,1.2445,62.4686,0.3128,0.9339,166.7903
angular_cw,120,-120,888.5127,70.7787,N/A,-1.3119,0.5587,-142.6481,0.3354,-0.1078,-1.0908
angular_ccw,-120,120,0.9487,0.6367,N/A,0.3352,-0.1057,-1.6614,0.3358,-0.1075,-0.3881
angular_cw,130,-130,13.1320,-70.4778,N/A,0.3354,-0.1076,-0.9212,0.3108,-0.1168,-141.8768
angular_ccw,-130,130,12.3828,239.7887,N/A,0.3108,-0.1182,-141.5546,0.3355,-0.12,-21.9771
angular_cw,140,-140,15.2133,-229.5071,N/A,0.3356,-0.1197,-22.0415,0.3149,-0.0974,-121.0556
angular_ccw,-140,140,18.8781,221.7408,N/A,0.3148,-0.0973,-120.8902,0.3335,-0.1301,-37.4085
angular_cw,150,-150,13.0714,-297.5848,N/A,0.3339,-0.1308,-35.0957,0.3286,-0.1052,89.7348
angular_ccw,-150,150,881.2453,281.3202,N/A,0.3286,-0.1052,89.7692,-1.3083,0.5482,-67.5903
