t,x,y,theta,pwm_l,pwm_r,v_true,v_exp,apf_vx,apf_vy
0.0,6.4189275,0.0,-2.687587453565044,105,66,128.37855,399.0,283.0188679245283,-283.0188679245283
0.05,12.770723191249491,-0.29816398294294183,-5.30626240832072,104,66,127.17579999999998,396.6666666666667,279.71360381861575,-286.3961813842482
0.1,19.16214299472172,-0.8917826703503435,-7.71819986664832,103,68,128.37855000000002,399.0,277.29468599033817,-288.8888888888889
0.15000000000000002,25.46332610475187,-1.745774285046151,-10.061224826166551,102,68,127.17580000000001,396.66666666666674,273.83863080684597,-292.4205378973105
0.2,31.78354099300465,-2.8671636093061004,-12.335337286875415,102,69,128.37855,399.0,271.28712871287127,-295.0495049504951
0.25,37.995531977874734,-4.22561061526284,-14.540537248774939,101,69,127.17579999999998,396.6666666666667,268.0,-297.0
0.3,44.03422891521448,-5.791882847088642,-16.607912213055727,99,69,124.77029999999999,392.0,262.0,-295.0
0.35,49.83960624039242,-7.523413965150345,-18.606374678527175,97,68,121.16205,385.0,255.0,-294.0
0.39999999999999997,55.5240751059584,-9.437153199642864,-20.535924645189255,96,68,119.95930000000001,382.6666666666667,250.0,-292.0
0.44999999999999996,60.971936246017556,-11.47791925406695,-22.396562113041966,94,67,116.35104999999999,375.6666666666667,244.0,-290.0
0.49999999999999994,66.29506308273147,-13.671580158236315,-24.18828708208531,93,67,115.1483,373.33333333333337,239.0,-288.0
0.5499999999999999,71.38242649826665,-15.956681986006886,-25.911099552319314,91,66,111.54004999999998,366.33333333333337,233.0,-286.0
0.6,76.34469840044207,-18.36741983925959,-27.56499952374395,90,66,110.3373,364.0,228.0,-284.0
0.65,81.0753911215317,-20.836887729997574,-29.149986996359218,88,65,106.72904999999997,357.0,223.0,-281.0
0.7000000000000001,85.6309271871141,-23.377674786538186,-30.597149471355777,86,65,104.32354999999998,352.33333333333337,218.0,-279.0
0.7500000000000001,90.01731368459498,-25.971481985275897,-32.04431194635234,85,64,101.91805,347.6666666666667,214.0,-276.0
0.8000000000000002,94.18386983975236,-28.57951797927983,-33.42256192253953,83,63,98.3098,340.6666666666667,209.0,-274.0
0.8500000000000002,98.23629769943199,-31.25389198852921,-34.73189939991738,82,63,97.10705,338.33333333333337,205.0,-271.0
0.9000000000000002,102.12771208215369,-33.95164161237366,-36.041236877295205,81,62,94.70154999999998,333.6666666666667,201.0,-268.0
0.9500000000000003,105.85921251574734,-36.66684079992817,-37.21274935705432,79,62,92.29605,329.0,197.0,-266.0
1.0000000000000002,109.43863337995413,-39.38502470193653,-38.38426183681344,78,61,89.89054999999999,324.33333333333337,194.0,-263.0
1.0500000000000003,112.86745264435585,-42.10114019760748,-39.55577431657255,77,60,87.48504999999999,319.6666666666667,190.0,-260.0
1.1000000000000003,116.14729069620962,-44.81019666141888,-40.58946179871293,75,60,85.07954999999998,315.0,187.0,-257.0
1.1500000000000004,119.28638712588243,-47.49972635333933,-41.62314928085334,74,59,82.67405,310.33333333333337,183.0,-255.0
1.2000000000000004,122.33149828467982,-50.20550347642108,-42.58792426418438,73,59,81.47129999999999,308.0,180.0,-252.0
1.2500000000000004,125.24206744713942,-52.88077710254594,-43.55269924751542,72,58,79.0658,303.33333333333337,177.0,-249.0
1.3000000000000005,128.06359442105446,-55.5632427451453,-44.44856173203709,71,58,77.86305,301.0,174.0,-247.0
1.3500000000000005,130.71404308007374,-58.16315816944336,-45.275511717749396,69,57,74.25479999999999,294.0,171.0,-244.0
1.4000000000000006,133.28437374326043,-60.75832777948592,-46.03354920465236,68,57,73.05205,291.6666666666667,169.0,-241.0
1.4500000000000006,135.77839603355824,-63.343991638482805,-46.722674192745956,67,57,71.84929999999999,289.33333333333337,166.0,-239.0
1.5000000000000007,138.158687454446,-65.87189910272039,-47.41179918083955,66,56,69.4438,284.6666666666667,164.0,-236.0
1.5500000000000007,140.46770652440256,-68.38397656914798,-48.169836667742516,66,55,68.24105,282.33333333333337,161.0,-234.0
1.6000000000000008,142.6630746848683,-70.83676228125564,-48.79004915702674,64,55,65.83555,277.6666666666667,159.0,-231.0
1.6500000000000008,144.79214415628346,-73.26792666802342,-49.47917414512034,64,54,64.63279999999999,275.33333333333337,157.0,-229.0
1.7000000000000008,146.8527467075286,-75.67880726094133,-50.099386634404595,63,54,63.430049999999994,273.0,155.0,-226.0
1.7500000000000009,148.80998052192322,-78.01958171666033,-50.581774126070115,61,54,61.02454999999999,268.33333333333337,153.0,-224.0
1.800000000000001,150.70925174959083,-80.33029333688773,-51.133074116545004,61,53,59.821799999999996,266.0,151.0,-221.0
1.850000000000001,152.5484646280351,-82.61234910855963,-51.61546160821052,60,53,58.61904999999999,263.6666666666667,149.0,-219.0
1.900000000000001,154.29371624034832,-84.8155297227455,-52.09784909987604,59,52,56.21354999999999,259.0,147.0,-217.0
1.950000000000001,155.98341373115673,-86.98587363124382,-52.511324092732195,58,52,55.010799999999996,256.6666666666667,145.0,-215.0
2.000000000000001,157.6574050733581,-89.16835462264669,-52.92479908558835,58,52,55.010799999999996,256.6666666666667,144.0,-213.0
2.0500000000000007,159.24309377620418,-91.26689823856017,-53.3382740784445,57,51,52.605299999999986,252.0,142.0,-210.0
2.1000000000000005,160.77768971599372,-93.32858945400386,-53.6828365724913,56,51,51.40254999999999,249.66666666666669,140.0,-208.0
2.1500000000000004,162.22862606659723,-95.30256031960792,-54.027399066538095,55,50,48.99705,245.0,139.0,-206.0
2.2,163.63234061897796,-97.23655184923248,-54.30304906177554,54,50,47.79429999999999,242.66666666666669,137.0,-204.0
2.25,164.99164441839355,-99.12843570121721,-54.64761155582234,54,49,46.59154999999999,240.33333333333337,136.0,-202.0
2.3,166.30475061507934,-100.97941112780325,-54.92326155105977,53,49,45.388799999999996,238.0,135.0,-200.0
2.3499999999999996,167.60893660697454,-102.83668246289253,-55.19891154629721,53,49,45.388799999999996,238.0,133.0,-199.0
2.3999999999999995,168.86984998252964,-104.65082551013342,-55.40564904272529,52,49,44.186049999999994,235.66666666666669,132.0,-197.0
2.4499999999999993,170.05592163744635,-106.37049696862756,-55.61238653915336,51,48,41.78054999999999,231.0,131.0,-195.0
2.499999999999999,171.2357805802846,-108.09443686629245,-55.81912403558144,51,48,41.78054999999999,231.0,129.0,-193.0
2.549999999999999,172.34184007863118,-109.72312308296328,-56.025861532009515,50,47,39.375049999999995,226.33333333333334,128.0,-191.0
2.5999999999999988,173.44201568254303,-111.35578962785645,-56.23259902843759,50,47,39.375049999999995,226.33333333333334,127.0,-190.0
2.6499999999999986,174.50286727901465,-112.9424228899837,-56.37042402605631,49,47,38.17229999999999,224.0,126.0,-188.0
2.6999999999999984,175.52659372746558,-114.4815308221146,-56.5771615224844,49,46,36.96954999999999,221.66666666666669,125.0,-187.0
2.7499999999999982,176.5116354924047,-115.97413012431385,-56.714986520103125,48,46,35.76679999999999,219.33333333333334,124.0,-185.0
2.799999999999998,177.49308396324867,-117.46909462378467,-56.85281151772185,48,46,35.76679999999999,219.33333333333334,123.0,-184.0
2.849999999999998,178.43805077408683,-118.91606442561904,-57.05954901414992,48,45,34.564049999999995,217.0,122.0,-182.0
2.8999999999999977,179.34508962270118,-120.31596491184274,-57.197374011768645,47,45,33.36129999999999,214.66666666666669,121.0,-181.0
2.9499999999999975,180.21617909542942,-121.66749514670924,-57.266286510578,46,45,32.15854999999999,212.33333333333334,120.0,-179.0
2.9999999999999973,181.08564238549738,-123.02007210661965,-57.33519900938737,46,45,32.15854999999999,212.33333333333334,119.0,-178.0
3.049999999999997,181.92102062842656,-124.32306753076378,-57.47302400700609,46,44,30.95579999999999,210.0,118.0,-176.0
3.099999999999997,182.75326210195794,-125.62806868548905,-57.61084900462481,46,44,30.95579999999999,210.0,118.0,-175.0
3.149999999999997,183.51793465264652,-126.8335042770693,-57.74867400224353,45,43,28.550299999999993,205.33333333333334,117.0,-174.0
3.1999999999999966,184.2797053184549,-128.04077579911348,-57.886498999862255,45,43,28.550299999999993,205.33333333333334,116.0,-173.0
3.2499999999999964,185.03856969145235,-129.2498762658325,-58.02432399748098,45,43,28.550299999999993,205.33333333333334,115.0,-171.0
3.2999999999999963,185.76267701465406,-130.40978566401492,-58.09323649629033,44,43,27.34754999999999,203.0,114.0,-170.0
3.349999999999996,186.45360374646856,-131.51951385995486,-58.09323649629033,43,43,26.14479999999999,200.66666666666669,114.0,-169.0
3.399999999999996,187.11274549133768,-132.57819077274607,-58.1621489950997,43,42,24.942049999999995,198.33333333333334,113.0,-168.0
3.4499999999999957,187.77061343609728,-133.63765970233487,-58.23106149390907,43,42,24.942049999999995,198.33333333333334,112.0,-167.0
3.4999999999999956,188.42720662907072,-134.69791911608567,-58.299973992718435,43,42,24.942049999999995,198.33333333333334,112.0,-166.0
3.5499999999999954,189.05092354578437,-135.70780184147026,-58.299973992718435,42,42,23.7393,196.0,111.0,-165.0
3.599999999999995,189.64303988785693,-136.66651892810577,-58.3688864915278,42,41,22.53655,193.66666666666669,110.0,-164.0
3.649999999999995,190.2340027049516,-137.6259474890564,-58.43779899033717,42,41,22.53655,193.66666666666669,110.0,-163.0
3.699999999999995,190.82381114217722,-138.58608613640567,-58.50671148914654,42,41,22.53655,193.66666666666669,109.0,-162.0
3.7499999999999947,191.41246434631256,-139.54693348120998,-58.57562398795591,42,41,22.53655,193.66666666666669,109.0,-161.0
3.7999999999999945,191.93725336181888,-140.40585398070928,-58.644536486765276,41,40,20.131049999999995,189.0,108.0,-160.0
3.8499999999999943,192.46100893136168,-141.26540504878446,-58.713448985574644,41,40,20.131049999999995,189.0,108.0,-159.0
3.899999999999994,192.98373029727225,-142.12558544200255,-58.78236148438401,41,40,20.131049999999995,189.0,107.0,-158.0
3.949999999999994,193.47424801992915,-142.9349640406722,-58.78236148438401,40,40,18.928299999999993,186.66666666666669,107.0,-157.0
3.999999999999994,193.96476574258605,-143.74434263934188,-58.78236148438401,40,40,18.928299999999993,186.66666666666669,106.0,-157.0
4.049999999999994,194.42411478179406,-144.50229136266353,-58.85127398319338,40,39,17.72554999999999,184.33333333333334,106.0,-156.0
4.099999999999993,194.88255186614603,-145.2607920196818,-58.92018648200275,40,39,17.72554999999999,184.33333333333334,105.0,-155.0
4.149999999999993,195.3400763324635,-146.01984351314397,-58.989098980812116,40,39,17.72554999999999,184.33333333333334,105.0,-154.0
4.199999999999993,195.79668751888818,-146.7794447450006,-59.058011479621484,40,39,17.72554999999999,184.33333333333334,104.0,-153.0
4.249999999999993,196.22146387032,-147.48801538429092,-59.058011479621484,39,39,16.52279999999999,182.0,104.0,-153.0
4.299999999999993,196.64624022175184,-148.19658602358123,-59.058011479621484,39,39,16.52279999999999,182.0,103.0,-152.0
4.3499999999999925,197.07101657318367,-148.90515666287155,-59.058011479621484,39,39,16.52279999999999,182.0,103.0,-151.0
4.399999999999992,197.4957929246155,-149.61372730216186,-59.058011479621484,39,39,16.52279999999999,182.0,102.0,-151.0
4.449999999999992,197.85872748692142,-150.21913947722015,-59.058011479621484,38,38,14.117299999999986,177.33333333333334,102.0,-150.0
4.499999999999992,198.22166204922735,-150.82455165227844,-59.058011479621484,38,38,14.117299999999986,177.33333333333334,102.0,-149.0
4.549999999999992,198.58459661153327,-151.42996382733673,-59.058011479621484,38,38,14.117299999999986,177.33333333333334,101.0,-149.0
4.599999999999992,198.9475311738392,-152.03537600239503,-59.058011479621484,38,38,14.117299999999986,177.33333333333334,101.0,-148.0
4.6499999999999915,199.31046573614512,-152.64078817745332,-59.058011479621484,38,38,14.117299999999986,177.33333333333334,101.0,-147.0
